id;name;geoname;value;datetime
1293;Demanda real;Península;31874;2026-07-04T10:20:00+02:00
1293;Demanda real;Península;31746;2026-07-04T10:25:00+02:00
1293;Demanda real;Península;32175;2026-07-04T10:30:00+02:00
1293;Demanda real;Península;32356;2026-07-04T10:35:00+02:00
1293;Demanda real;Península;32334;2026-07-04T10:40:00+02:00
1293;Demanda real;Península;32197;2026-07-04T10:45:00+02:00
1293;Demanda real;Península;32043;2026-07-04T10:50:00+02:00
1293;Demanda real;Península;32425;2026-07-04T10:55:00+02:00
1293;Demanda real;Península;32174;2026-07-04T11:00:00+02:00
1293;Demanda real;Península;32471;2026-07-04T11:05:00+02:00
1293;Demanda real;Península;32313;2026-07-04T11:10:00+02:00
1293;Demanda real;Península;32511;2026-07-04T11:15:00+02:00
1293;Demanda real;Península;32618;2026-07-04T11:20:00+02:00
1293;Demanda real;Península;32533;2026-07-04T11:25:00+02:00
1293;Demanda real;Península;32441;2026-07-04T11:30:00+02:00
1293;Demanda real;Península;32719;2026-07-04T11:35:00+02:00
1293;Demanda real;Península;32529;2026-07-04T11:40:00+02:00
1293;Demanda real;Península;32627;2026-07-04T11:45:00+02:00
1293;Demanda real;Península;32757;2026-07-04T11:50:00+02:00
1293;Demanda real;Península;32773;2026-07-04T11:55:00+02:00
1293;Demanda real;Península;32859;2026-07-04T12:00:00+02:00
1293;Demanda real;Península;32933;2026-07-04T12:05:00+02:00
1293;Demanda real;Península;33034;2026-07-04T12:10:00+02:00
1293;Demanda real;Península;33166;2026-07-04T12:15:00+02:00
1293;Demanda real;Península;33008;2026-07-04T12:20:00+02:00
1293;Demanda real;Península;33020;2026-07-04T12:25:00+02:00
1293;Demanda real;Península;32807;2026-07-04T12:30:00+02:00
1293;Demanda real;Península;33314;2026-07-04T12:35:00+02:00
1293;Demanda real;Península;33159;2026-07-04T12:40:00+02:00
1293;Demanda real;Península;33303;2026-07-04T12:45:00+02:00
1293;Demanda real;Península;33517;2026-07-04T12:50:00+02:00
1293;Demanda real;Península;33649;2026-07-04T12:55:00+02:00
1293;Demanda real;Península;33660;2026-07-04T13:00:00+02:00
1293;Demanda real;Península;33831;2026-07-04T13:05:00+02:00
1293;Demanda real;Península;33710;2026-07-04T13:10:00+02:00
1293;Demanda real;Península;33799;2026-07-04T13:15:00+02:00
1293;Demanda real;Península;33803;2026-07-04T13:20:00+02:00
1293;Demanda real;Península;33956;2026-07-04T13:25:00+02:00
1293;Demanda real;Península;34116;2026-07-04T13:30:00+02:00
1293;Demanda real;Península;34137;2026-07-04T13:35:00+02:00
1293;Demanda real;Península;34192;2026-07-04T13:40:00+02:00
1293;Demanda real;Península;34264;2026-07-04T13:45:00+02:00
1293;Demanda real;Península;34228;2026-07-04T13:50:00+02:00
1293;Demanda real;Península;34142;2026-07-04T13:55:00+02:00
1293;Demanda real;Península;34121;2026-07-04T14:00:00+02:00
1293;Demanda real;Península;34318;2026-07-04T14:05:00+02:00
1293;Demanda real;Península;34346;2026-07-04T14:10:00+02:00
1293;Demanda real;Península;34188;2026-07-04T14:15:00+02:00
1293;Demanda real;Península;34488;2026-07-04T14:20:00+02:00
1293;Demanda real;Península;34446;2026-07-04T14:25:00+02:00
1293;Demanda real;Península;34365;2026-07-04T14:30:00+02:00
1293;Demanda real;Península;34322;2026-07-04T14:35:00+02:00
1293;Demanda real;Península;34460;2026-07-04T14:40:00+02:00
1293;Demanda real;Península;34236;2026-07-04T14:45:00+02:00
1293;Demanda real;Península;34250;2026-07-04T14:50:00+02:00
1293;Demanda real;Península;34319;2026-07-04T14:55:00+02:00
